Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,22.489654
500000,1,0.002,16.241302
500000,1,0.004,15.066089
500000,1,0.006,7.281764
500000,1,0.008,5.839757
500000,1,0.01,2.621730
500000,1,0.02,0.569958
500000,1,0.03,0.377181
500000,1,0.04,0.240903
500000,1,0.05,0.194399
500000,1,0.06,0.176687
500000,1,0.08,0.122445
500000,1,0.10,0.100127
500000,1,0.12,0.085402
500000,1,0.14,0.076314
500000,1,0.15,0.075439
500000,1,0.16,0.071321
500000,1,0.18,0.066152
500000,1,0.20,0.062547
500000,1,0.25,0.053054
500000,1,0.30,0.049849
500000,1,0.35,0.051047
500000,1,0.40,0.045606
500000,1,0.50,0.045356
500000,1,0.60,0.044818
500000,1,0.80,0.043501
500000,1,1.00,0.041467
500000,2,0.001,16.798979
500000,2,0.002,14.608267
500000,2,0.004,11.993725
500000,2,0.006,14.492057
500000,2,0.008,7.462955
500000,2,0.01,3.328014
500000,2,0.02,0.555487
500000,2,0.03,0.329866
500000,2,0.04,0.251656
500000,2,0.05,0.181751
500000,2,0.06,0.158663
500000,2,0.08,0.120473
500000,2,0.10,0.101798
500000,2,0.12,0.085500
500000,2,0.14,0.078925
500000,2,0.15,0.074603
500000,2,0.16,0.069030
500000,2,0.18,0.064443
500000,2,0.20,0.062426
500000,2,0.25,0.054398
500000,2,0.30,0.051229
500000,2,0.35,0.048919
500000,2,0.40,0.046330
500000,2,0.50,0.044596
500000,2,0.60,0.044018
500000,2,0.80,0.041966
500000,2,1.00,0.040746
500000,5,0.001,18.465841
500000,5,0.002,13.286456
500000,5,0.004,13.103150
500000,5,0.006,11.480514
500000,5,0.008,5.506705
500000,5,0.01,3.291370
500000,5,0.02,0.562328
500000,5,0.03,0.350923
500000,5,0.04,0.239508
500000,5,0.05,0.209055
500000,5,0.06,0.164348
500000,5,0.08,0.119666
500000,5,0.10,0.099957
500000,5,0.12,0.084933
500000,5,0.14,0.076838
500000,5,0.15,0.074250
500000,5,0.16,0.066868
500000,5,0.18,0.067009
500000,5,0.20,0.061504
500000,5,0.25,0.057815
500000,5,0.30,0.051401
500000,5,0.35,0.053500
500000,5,0.40,0.048715
500000,5,0.50,0.047578
500000,5,0.60,0.045266
500000,5,0.80,0.044901
500000,5,1.00,0.043282
500000,10,0.001,15.825958
500000,10,0.002,12.090966
500000,10,0.004,17.003189
500000,10,0.006,7.004496
500000,10,0.008,3.899785
500000,10,0.01,3.823171
500000,10,0.02,0.522963
500000,10,0.03,0.337183
500000,10,0.04,0.243120
500000,10,0.05,0.191350
500000,10,0.06,0.157629
500000,10,0.08,0.124889
500000,10,0.10,0.102892
500000,10,0.12,0.088327
500000,10,0.14,0.077499
500000,10,0.15,0.071357
500000,10,0.16,0.071660
500000,10,0.18,0.065263
500000,10,0.20,0.059873
500000,10,0.25,0.054993
500000,10,0.30,0.049905
500000,10,0.35,0.047888
500000,10,0.40,0.046939
500000,10,0.50,0.043887
500000,10,0.60,0.043207
500000,10,0.80,0.041399
500000,10,1.00,0.042366
500000,20,0.001,18.088497
500000,20,0.002,13.367958
500000,20,0.004,13.332050
500000,20,0.006,8.963026
500000,20,0.008,4.986828
500000,20,0.01,2.933189
500000,20,0.02,0.633635
500000,20,0.03,0.351513
500000,20,0.04,0.253409
500000,20,0.05,0.191876
500000,20,0.06,0.163179
500000,20,0.08,0.119556
500000,20,0.10,0.096059
500000,20,0.12,0.087894
500000,20,0.14,0.077669
500000,20,0.15,0.073962
500000,20,0.16,0.066774
500000,20,0.18,0.063705
500000,20,0.20,0.062777
500000,20,0.25,0.055411
500000,20,0.30,0.051963
500000,20,0.35,0.049740
500000,20,0.40,0.046867
500000,20,0.50,0.045296
500000,20,0.60,0.044126
500000,20,0.80,0.043733
500000,20,1.00,0.043546
500000,30,0.001,16.532420
500000,30,0.002,10.296166
500000,30,0.004,10.276433
500000,30,0.006,11.636884
500000,30,0.008,4.560179
500000,30,0.01,2.668097
500000,30,0.02,0.570688
500000,30,0.03,0.337674
500000,30,0.04,0.239423
500000,30,0.05,0.195471
500000,30,0.06,0.156385
500000,30,0.08,0.119400
500000,30,0.10,0.104499
500000,30,0.12,0.086439
500000,30,0.14,0.074858
500000,30,0.15,0.074505
500000,30,0.16,0.070560
500000,30,0.18,0.062276
500000,30,0.20,0.062681
500000,30,0.25,0.055007
500000,30,0.30,0.050671
500000,30,0.35,0.048183
500000,30,0.40,0.046173
500000,30,0.50,0.043342
500000,30,0.60,0.041518
500000,30,0.80,0.041525
500000,30,1.00,0.040925
500000,40,0.001,23.173144
500000,40,0.002,16.200294
500000,40,0.004,13.323851
500000,40,0.006,8.733342
500000,40,0.008,3.844762
500000,40,0.01,2.338730
500000,40,0.02,0.642404
500000,40,0.03,0.355985
500000,40,0.04,0.234003
500000,40,0.05,0.190816
500000,40,0.06,0.164373
500000,40,0.08,0.125835
500000,40,0.10,0.099338
500000,40,0.12,0.087469
500000,40,0.14,0.077511
500000,40,0.15,0.072900
500000,40,0.16,0.069730
500000,40,0.18,0.063034
500000,40,0.20,0.061590
500000,40,0.25,0.054688
500000,40,0.30,0.050182
500000,40,0.35,0.048209
500000,40,0.40,0.046936
500000,40,0.50,0.045518
500000,40,0.60,0.043260
500000,40,0.80,0.041460
500000,40,1.00,0.042987
500000,50,0.001,17.557883
500000,50,0.002,12.303339
500000,50,0.004,14.617855
500000,50,0.006,11.889698
500000,50,0.008,4.400054
500000,50,0.01,2.568766
500000,50,0.02,0.546642
500000,50,0.03,0.335828
500000,50,0.04,0.239724
500000,50,0.05,0.187919
500000,50,0.06,0.162254
500000,50,0.08,0.122887
500000,50,0.10,0.098095
500000,50,0.12,0.089458
500000,50,0.14,0.074117
500000,50,0.15,0.076322
500000,50,0.16,0.073445
500000,50,0.18,0.066167
500000,50,0.20,0.060378
500000,50,0.25,0.054510
500000,50,0.30,0.050732
500000,50,0.35,0.049758
500000,50,0.40,0.047764
500000,50,0.50,0.045823
500000,50,0.60,0.044513
500000,50,0.80,0.042986
500000,50,1.00,0.042727
500000,75,0.001,18.505532
500000,75,0.002,17.101249
500000,75,0.004,12.893711
500000,75,0.006,8.278529
500000,75,0.008,4.482482
500000,75,0.01,3.091861
500000,75,0.02,0.563993
500000,75,0.03,0.355235
500000,75,0.04,0.232094
500000,75,0.05,0.187008
500000,75,0.06,0.167296
500000,75,0.08,0.120954
500000,75,0.10,0.097794
500000,75,0.12,0.086928
500000,75,0.14,0.075907
500000,75,0.15,0.071490
500000,75,0.16,0.070935
500000,75,0.18,0.061733
500000,75,0.20,0.060884
500000,75,0.25,0.055360
500000,75,0.30,0.050170
500000,75,0.35,0.048787
500000,75,0.40,0.048290
500000,75,0.50,0.046202
500000,75,0.60,0.044702
500000,75,0.80,0.042903
500000,75,1.00,0.042590
500000,100,0.001,18.341921
500000,100,0.002,17.260636
500000,100,0.004,10.960088
500000,100,0.006,8.279831
500000,100,0.008,5.259729
500000,100,0.01,2.862768
500000,100,0.02,0.619228
500000,100,0.03,0.352863
500000,100,0.04,0.233542
500000,100,0.05,0.192989
500000,100,0.06,0.161687
500000,100,0.08,0.121387
500000,100,0.10,0.097413
500000,100,0.12,0.086010
500000,100,0.14,0.076266
500000,100,0.15,0.080441
500000,100,0.16,0.069660
500000,100,0.18,0.071189
500000,100,0.20,0.062738
500000,100,0.25,0.057372
500000,100,0.30,0.052526
500000,100,0.35,0.051130
500000,100,0.40,0.048315
500000,100,0.50,0.048091
500000,100,0.60,0.048318
500000,100,0.80,0.044731
500000,100,1.00,0.046334
500000,150,0.001,16.474089
500000,150,0.002,17.860590
500000,150,0.004,12.897175
500000,150,0.006,9.396089
500000,150,0.008,5.001696
500000,150,0.01,3.279883
500000,150,0.02,0.583524
500000,150,0.03,0.366134
500000,150,0.04,0.273974
500000,150,0.05,0.194087
500000,150,0.06,0.168566
500000,150,0.08,0.128710
500000,150,0.10,0.101610
500000,150,0.12,0.090748
500000,150,0.14,0.079342
500000,150,0.15,0.075144
500000,150,0.16,0.074964
500000,150,0.18,0.070193
500000,150,0.20,0.062898
500000,150,0.25,0.057323
500000,150,0.30,0.052350
500000,150,0.35,0.047477
500000,150,0.40,0.046675
500000,150,0.50,0.045277
500000,150,0.60,0.043932
500000,150,0.80,0.042121
500000,150,1.00,0.042075
500000,200,0.001,16.439034
500000,200,0.002,15.945982
500000,200,0.004,14.431141
500000,200,0.006,11.365880
500000,200,0.008,4.764554
500000,200,0.01,3.616409
500000,200,0.02,0.618467
500000,200,0.03,0.410926
500000,200,0.04,0.254177
500000,200,0.05,0.205186
500000,200,0.06,0.169948
500000,200,0.08,0.134804
500000,200,0.10,0.111927
500000,200,0.12,0.090610
500000,200,0.14,0.083841
500000,200,0.15,0.080273
500000,200,0.16,0.073977
500000,200,0.18,0.070089
500000,200,0.20,0.063449
500000,200,0.25,0.059883
500000,200,0.30,0.053820
500000,200,0.35,0.053265
500000,200,0.40,0.052112
500000,200,0.50,0.048773
500000,200,0.60,0.047105
500000,200,0.80,0.044972
500000,200,1.00,0.045803
500000,250,0.001,14.144507
500000,250,0.002,18.006531
500000,250,0.004,15.439091
500000,250,0.006,9.130227
500000,250,0.008,5.472144
500000,250,0.01,3.504520
500000,250,0.02,0.810752
500000,250,0.03,0.394482
500000,250,0.04,0.292322
500000,250,0.05,0.227721
500000,250,0.06,0.188679
500000,250,0.08,0.143416
500000,250,0.10,0.117576
500000,250,0.12,0.097099
500000,250,0.14,0.085974
500000,250,0.15,0.080929
500000,250,0.16,0.077504
500000,250,0.18,0.073787
500000,250,0.20,0.067843
500000,250,0.25,0.062707
500000,250,0.30,0.055883
500000,250,0.35,0.055762
500000,250,0.40,0.054602
500000,250,0.50,0.049833
500000,250,0.60,0.048717
500000,250,0.80,0.048373
500000,250,1.00,0.047568
500000,300,0.001,14.749019
500000,300,0.002,26.060388
500000,300,0.004,13.688550
500000,300,0.006,16.000249
500000,300,0.008,6.996798
500000,300,0.01,4.310526
500000,300,0.02,0.733639
500000,300,0.03,0.448444
500000,300,0.04,0.304720
500000,300,0.05,0.236883
500000,300,0.06,0.194579
500000,300,0.08,0.147730
500000,300,0.10,0.126277
500000,300,0.12,0.099357
500000,300,0.14,0.090817
500000,300,0.15,0.084643
500000,300,0.16,0.083457
500000,300,0.18,0.077670
500000,300,0.20,0.073373
500000,300,0.25,0.064510
500000,300,0.30,0.058961
500000,300,0.35,0.056553
500000,300,0.40,0.054786
500000,300,0.50,0.051382
500000,300,0.60,0.049778
500000,300,0.80,0.049096
500000,300,1.00,0.048266
