Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,4.411541
500000,1,0.002,1.138034
500000,1,0.004,0.589770
500000,1,0.006,0.443445
500000,1,0.008,0.300351
500000,1,0.01,0.250010
500000,1,0.02,0.119423
500000,1,0.03,0.097407
500000,1,0.04,0.072249
500000,1,0.05,0.069332
500000,1,0.06,0.059764
500000,1,0.08,0.054410
500000,1,0.10,0.049240
500000,1,0.12,0.048179
500000,1,0.14,0.045794
500000,1,0.15,0.046232
500000,1,0.16,0.043606
500000,1,0.18,0.045256
500000,1,0.20,0.044378
500000,1,0.25,0.042538
500000,1,0.30,0.044320
500000,1,0.35,0.043303
500000,1,0.40,0.043303
500000,1,0.50,0.042538
500000,1,0.60,0.042325
500000,1,0.80,0.041556
500000,1,1.00,0.041578
500000,2,0.001,5.250080
500000,2,0.002,1.531762
500000,2,0.004,0.568433
500000,2,0.006,0.389824
500000,2,0.008,0.297984
500000,2,0.01,0.227852
500000,2,0.02,0.126274
500000,2,0.03,0.089376
500000,2,0.04,0.077312
500000,2,0.05,0.065877
500000,2,0.06,0.063059
500000,2,0.08,0.052661
500000,2,0.10,0.050515
500000,2,0.12,0.047210
500000,2,0.14,0.047210
500000,2,0.15,0.047210
500000,2,0.16,0.047815
500000,2,0.18,0.044119
500000,2,0.20,0.045198
500000,2,0.25,0.045837
500000,2,0.30,0.044872
500000,2,0.35,0.044119
500000,2,0.40,0.045092
500000,2,0.50,0.044003
500000,2,0.60,0.043906
500000,2,0.80,0.043919
500000,2,1.00,0.044119
500000,5,0.001,5.089889
500000,5,0.002,1.007444
500000,5,0.004,0.544919
500000,5,0.006,0.378610
500000,5,0.008,0.286447
500000,5,0.01,0.246490
500000,5,0.02,0.123269
500000,5,0.03,0.089270
500000,5,0.04,0.075145
500000,5,0.05,0.061183
500000,5,0.06,0.058025
500000,5,0.08,0.053742
500000,5,0.10,0.051626
500000,5,0.12,0.048503
500000,5,0.14,0.046418
500000,5,0.15,0.048461
500000,5,0.16,0.044256
500000,5,0.18,0.046012
500000,5,0.20,0.046047
500000,5,0.25,0.045376
500000,5,0.30,0.045305
500000,5,0.35,0.046356
500000,5,0.40,0.045079
500000,5,0.50,0.044256
500000,5,0.60,0.044110
500000,5,0.80,0.044335
500000,5,1.00,0.044361
