Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,11.702859
500000,1,0.002,2.272361
500000,1,0.004,0.813089
500000,1,0.006,0.602401
500000,1,0.008,0.414879
500000,1,0.01,0.312803
500000,1,0.02,0.156459
500000,1,0.03,0.122875
500000,1,0.04,0.085349
500000,1,0.05,0.080599
500000,1,0.06,0.069345
500000,1,0.08,0.066476
500000,1,0.10,0.061744
500000,1,0.12,0.054986
500000,1,0.14,0.053323
500000,1,0.15,0.055927
500000,1,0.16,0.053149
500000,1,0.18,0.053029
500000,1,0.20,0.055483
500000,1,0.25,0.054349
500000,1,0.30,0.054986
500000,1,0.35,0.053269
500000,1,0.40,0.053041
500000,1,0.50,0.052245
500000,1,0.60,0.053041
500000,1,0.80,0.051114
500000,1,1.00,0.052068
500000,2,0.001,15.081469
500000,2,0.002,3.054701
500000,2,0.004,0.699832
500000,2,0.006,0.519611
500000,2,0.008,0.422635
500000,2,0.01,0.308987
500000,2,0.02,0.170940
500000,2,0.03,0.108290
500000,2,0.04,0.084973
500000,2,0.05,0.081788
500000,2,0.06,0.072509
500000,2,0.08,0.064467
500000,2,0.10,0.061082
500000,2,0.12,0.055448
500000,2,0.14,0.053588
500000,2,0.15,0.055776
500000,2,0.16,0.054478
500000,2,0.18,0.053522
500000,2,0.20,0.055448
500000,2,0.25,0.052620
500000,2,0.30,0.053522
500000,2,0.35,0.052613
500000,2,0.40,0.052565
500000,2,0.50,0.052522
500000,2,0.60,0.053525
500000,2,0.80,0.051607
500000,2,1.00,0.051457
500000,5,0.001,13.043876
500000,5,0.002,1.892222
500000,5,0.004,0.668348
500000,5,0.006,0.528823
500000,5,0.008,0.356501
500000,5,0.01,0.305506
500000,5,0.02,0.167026
500000,5,0.03,0.108043
500000,5,0.04,0.091462
500000,5,0.05,0.079919
500000,5,0.06,0.076214
500000,5,0.08,0.062246
500000,5,0.10,0.059049
500000,5,0.12,0.057441
500000,5,0.14,0.054801
500000,5,0.15,0.054607
500000,5,0.16,0.053651
500000,5,0.18,0.053694
500000,5,0.20,0.053795
500000,5,0.25,0.053784
500000,5,0.30,0.051626
500000,5,0.35,0.053694
500000,5,0.40,0.052684
500000,5,0.50,0.051679
500000,5,0.60,0.052743
500000,5,0.80,0.052684
500000,5,1.00,0.051791
500000,10,0.001,11.708446
500000,10,0.002,1.714683
500000,10,0.004,0.734466
500000,10,0.006,0.519242
500000,10,0.008,0.367834
500000,10,0.01,0.324084
500000,10,0.02,0.171722
500000,10,0.03,0.116572
500000,10,0.04,0.089015
500000,10,0.05,0.074327
500000,10,0.06,0.067375
500000,10,0.08,0.067329
500000,10,0.10,0.058374
500000,10,0.12,0.055693
500000,10,0.14,0.054546
500000,10,0.15,0.052696
500000,10,0.16,0.052432
500000,10,0.18,0.052696
500000,10,0.20,0.051430
500000,10,0.25,0.052485
500000,10,0.30,0.050795
500000,10,0.35,0.050324
500000,10,0.40,0.052432
500000,10,0.50,0.050324
500000,10,0.60,0.050324
500000,10,0.80,0.051746
500000,10,1.00,0.050324
500000,20,0.001,10.801943
500000,20,0.002,2.751006
500000,20,0.004,0.748743
500000,20,0.006,0.556873
500000,20,0.008,0.374827
500000,20,0.01,0.283511
500000,20,0.02,0.158258
500000,20,0.03,0.100815
500000,20,0.04,0.081220
500000,20,0.05,0.075209
500000,20,0.06,0.073283
500000,20,0.08,0.065829
500000,20,0.10,0.060899
500000,20,0.12,0.059838
500000,20,0.14,0.057743
500000,20,0.15,0.057696
500000,20,0.16,0.054493
500000,20,0.18,0.056412
500000,20,0.20,0.057357
500000,20,0.25,0.056422
500000,20,0.30,0.055549
500000,20,0.35,0.054569
500000,20,0.40,0.052667
500000,20,0.50,0.055524
500000,20,0.60,0.054626
500000,20,0.80,0.053444
500000,20,1.00,0.053622
500000,30,0.001,6.692551
500000,30,0.002,2.313264
500000,30,0.004,0.953832
500000,30,0.006,0.468938
500000,30,0.008,0.412325
500000,30,0.01,0.303158
500000,30,0.02,0.143699
500000,30,0.03,0.107567
500000,30,0.04,0.085685
500000,30,0.05,0.084608
500000,30,0.06,0.077002
500000,30,0.08,0.064791
500000,30,0.10,0.058793
500000,30,0.12,0.059233
500000,30,0.14,0.056728
500000,30,0.15,0.057254
500000,30,0.16,0.053527
500000,30,0.18,0.056728
500000,30,0.20,0.056675
500000,30,0.25,0.053508
500000,30,0.30,0.053560
500000,30,0.35,0.054427
500000,30,0.40,0.053475
500000,30,0.50,0.054615
500000,30,0.60,0.055378
500000,30,0.80,0.055618
500000,30,1.00,0.054563
500000,40,0.001,11.796128
500000,40,0.002,2.159217
500000,40,0.004,0.769334
500000,40,0.006,0.509981
500000,40,0.008,0.368735
500000,40,0.01,0.294095
500000,40,0.02,0.175546
500000,40,0.03,0.110224
500000,40,0.04,0.080824
500000,40,0.05,0.079635
500000,40,0.06,0.063729
500000,40,0.08,0.062488
500000,40,0.10,0.056128
500000,40,0.12,0.053044
500000,40,0.14,0.052049
500000,40,0.15,0.051962
500000,40,0.16,0.051140
500000,40,0.18,0.050185
500000,40,0.20,0.051909
500000,40,0.25,0.050150
500000,40,0.30,0.049230
500000,40,0.35,0.049859
500000,40,0.40,0.049824
500000,40,0.50,0.048273
500000,40,0.60,0.049859
500000,40,0.80,0.048757
500000,40,1.00,0.048779
500000,50,0.001,8.857453
500000,50,0.002,2.063611
500000,50,0.004,0.836759
500000,50,0.006,0.515129
500000,50,0.008,0.382851
500000,50,0.01,0.298264
