Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,10.007660
500000,1,0.002,9.105737
500000,1,0.004,9.668351
500000,1,0.006,6.639194
500000,1,0.008,4.110714
500000,1,0.01,2.708620
500000,1,0.02,1.182719
500000,1,0.03,0.799154
500000,1,0.04,0.615751
500000,1,0.05,0.465188
500000,1,0.06,0.419471
500000,1,0.08,0.305536
500000,1,0.10,0.258100
500000,1,0.12,0.213967
500000,1,0.14,0.201612
500000,1,0.15,0.192423
500000,1,0.16,0.172974
500000,1,0.18,0.163979
500000,1,0.20,0.148967
500000,1,0.25,0.126267
500000,1,0.30,0.117162
500000,1,0.35,0.116916
500000,1,0.40,0.117490
500000,1,0.50,0.103403
500000,1,0.60,0.103136
500000,1,0.80,0.096620
500000,1,1.00,0.095193
500000,2,0.001,9.310341
500000,2,0.002,9.054860
500000,2,0.004,6.948960
500000,2,0.006,7.282439
500000,2,0.008,4.375029
500000,2,0.01,2.473810
500000,2,0.02,1.225817
500000,2,0.03,0.785996
500000,2,0.04,0.617551
500000,2,0.05,0.442183
500000,2,0.06,0.391545
500000,2,0.08,0.297885
500000,2,0.10,0.258110
500000,2,0.12,0.221050
500000,2,0.14,0.210861
500000,2,0.15,0.181159
500000,2,0.16,0.166822
500000,2,0.18,0.158240
500000,2,0.20,0.147919
500000,2,0.25,0.136154
500000,2,0.30,0.118269
500000,2,0.35,0.114857
500000,2,0.40,0.107574
500000,2,0.50,0.099015
500000,2,0.60,0.101323
500000,2,0.80,0.101643
500000,2,1.00,0.096868
500000,5,0.001,8.445385
500000,5,0.002,9.806930
500000,5,0.004,8.505644
500000,5,0.006,5.947663
500000,5,0.008,3.081951
500000,5,0.01,2.518290
500000,5,0.02,1.161393
500000,5,0.03,0.851994
500000,5,0.04,0.541042
500000,5,0.05,0.488870
500000,5,0.06,0.408154
500000,5,0.08,0.302320
500000,5,0.10,0.253639
500000,5,0.12,0.212121
500000,5,0.14,0.182158
500000,5,0.15,0.188502
500000,5,0.16,0.167138
500000,5,0.18,0.164365
500000,5,0.20,0.144100
500000,5,0.25,0.134629
500000,5,0.30,0.114711
500000,5,0.35,0.120096
500000,5,0.40,0.109863
500000,5,0.50,0.106648
500000,5,0.60,0.106143
500000,5,0.80,0.101021
500000,5,1.00,0.098962
500000,10,0.001,10.656452
500000,10,0.002,10.183320
500000,10,0.004,9.278283
500000,10,0.006,5.597845
500000,10,0.008,3.460548
500000,10,0.01,2.644227
500000,10,0.02,1.174802
500000,10,0.03,0.788710
500000,10,0.04,0.555125
500000,10,0.05,0.465511
500000,10,0.06,0.389575
500000,10,0.08,0.305273
500000,10,0.10,0.259827
500000,10,0.12,0.230167
500000,10,0.14,0.200299
500000,10,0.15,0.183426
500000,10,0.16,0.174179
500000,10,0.18,0.159203
500000,10,0.20,0.151896
500000,10,0.25,0.139369
500000,10,0.30,0.126925
500000,10,0.35,0.120454
500000,10,0.40,0.112297
500000,10,0.50,0.106091
500000,10,0.60,0.107421
500000,10,0.80,0.103188
500000,10,1.00,0.100340
500000,20,0.001,8.902261
500000,20,0.002,7.471687
500000,20,0.004,7.651250
500000,20,0.006,6.408728
500000,20,0.008,3.429121
500000,20,0.01,2.551237
500000,20,0.02,1.289012
500000,20,0.03,0.770372
500000,20,0.04,0.589456
500000,20,0.05,0.490775
500000,20,0.06,0.423346
500000,20,0.08,0.294455
500000,20,0.10,0.248075
500000,20,0.12,0.212846
500000,20,0.14,0.196395
500000,20,0.15,0.161956
