Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,41.325773
500000,1,0.002,48.324250
500000,1,0.004,33.986757
500000,1,0.006,38.136856
500000,1,0.008,37.987766
500000,1,0.01,28.885348
500000,1,0.02,28.333228
500000,1,0.03,13.747492
500000,1,0.04,9.790559
500000,1,0.05,4.351594
500000,1,0.06,2.896569
500000,1,0.08,1.874041
500000,1,0.10,1.434394
500000,1,0.12,1.022832
500000,1,0.14,0.926743
500000,1,0.15,0.959808
500000,1,0.16,0.827963
500000,1,0.18,0.722146
500000,1,0.20,0.715140
500000,1,0.25,0.586427
500000,1,0.30,0.449117
500000,1,0.35,0.431924
500000,1,0.40,0.354142
500000,1,0.50,0.314049
500000,1,0.60,0.292067
500000,1,0.80,0.230982
500000,1,1.00,0.201669
500000,2,0.001,44.710778
500000,2,0.002,45.111478
500000,2,0.004,40.623267
500000,2,0.006,35.120032
500000,2,0.008,31.817290
500000,2,0.01,34.831717
500000,2,0.02,30.859855
500000,2,0.03,14.069445
500000,2,0.04,6.472919
500000,2,0.05,3.344195
500000,2,0.06,2.353365
500000,2,0.08,1.894410
500000,2,0.10,1.344148
500000,2,0.12,1.182317
500000,2,0.14,1.054746
500000,2,0.15,0.810668
500000,2,0.16,0.829964
500000,2,0.18,0.747373
500000,2,0.20,0.741072
500000,2,0.25,0.513538
500000,2,0.30,0.487763
500000,2,0.35,0.382377
500000,2,0.40,0.359952
500000,2,0.50,0.323956
500000,2,0.60,0.284527
500000,2,0.80,0.208347
500000,2,1.00,0.199251
500000,5,0.001,47.103832
500000,5,0.002,37.129099
500000,5,0.004,28.037061
500000,5,0.006,36.127484
500000,5,0.008,36.241581
500000,5,0.01,33.344014
500000,5,0.02,31.479155
500000,5,0.03,18.256226
500000,5,0.04,7.096822
500000,5,0.05,3.280590
500000,5,0.06,3.094469
500000,5,0.08,1.639893
500000,5,0.10,1.309321
500000,5,0.12,1.105880
500000,5,0.14,1.000367
500000,5,0.15,0.953099
500000,5,0.16,0.920029
500000,5,0.18,0.722687
500000,5,0.20,0.646640
500000,5,0.25,0.517580
500000,5,0.30,0.460469
500000,5,0.35,0.398100
500000,5,0.40,0.362140
500000,5,0.50,0.310129
500000,5,0.60,0.253914
500000,5,0.80,0.234125
500000,5,1.00,0.197509
500000,10,0.001,51.850132
500000,10,0.002,34.893349
500000,10,0.004,39.587672
500000,10,0.006,61.137764
500000,10,0.008,30.415532
500000,10,0.01,38.470257
500000,10,0.02,33.888105
500000,10,0.03,14.701870
500000,10,0.04,7.711571
500000,10,0.05,2.873833
500000,10,0.06,2.704240
500000,10,0.08,1.878678
500000,10,0.10,1.377984
500000,10,0.12,1.130045
500000,10,0.14,0.890303
500000,10,0.15,0.857991
500000,10,0.16,0.806426
500000,10,0.18,0.768512
500000,10,0.20,0.650584
500000,10,0.25,0.610084
500000,10,0.30,0.447414
500000,10,0.35,0.406736
500000,10,0.40,0.366001
500000,10,0.50,0.309441
500000,10,0.60,0.260171
500000,10,0.80,0.209822
500000,10,1.00,0.196578
500000,20,0.001,51.135424
500000,20,0.002,44.957881
500000,20,0.004,27.454211
500000,20,0.006,27.475554
500000,20,0.008,38.421954
500000,20,0.01,43.264516
500000,20,0.02,27.073557
500000,20,0.03,12.971496
500000,20,0.04,6.116289
500000,20,0.05,3.578514
500000,20,0.06,2.549283
500000,20,0.08,1.824556
500000,20,0.10,1.363159
500000,20,0.12,1.138667
500000,20,0.14,1.014599
500000,20,0.15,0.868438
500000,20,0.16,0.881786
500000,20,0.18,0.736661
500000,20,0.20,0.685314
500000,20,0.25,0.555758
500000,20,0.30,0.470083
500000,20,0.35,0.385619
500000,20,0.40,0.347943
500000,20,0.50,0.319126
500000,20,0.60,0.269775
500000,20,0.80,0.223156
500000,20,1.00,0.189876
500000,30,0.001,59.840745
500000,30,0.002,40.987573
500000,30,0.004,32.947159
500000,30,0.006,47.295386
500000,30,0.008,38.382108
500000,30,0.01,27.801423
500000,30,0.02,30.181559
500000,30,0.03,12.622475
500000,30,0.04,6.341587
500000,30,0.05,3.232850
500000,30,0.06,2.713844
500000,30,0.08,1.726342
500000,30,0.10,1.350189
500000,30,0.12,1.110955
500000,30,0.14,0.850923
500000,30,0.15,0.830740
500000,30,0.16,0.809686
500000,30,0.18,0.799540
500000,30,0.20,0.652202
500000,30,0.25,0.540790
500000,30,0.30,0.499323
500000,30,0.35,0.415928
500000,30,0.40,0.370343
500000,30,0.50,0.289718
500000,30,0.60,0.251678
500000,30,0.80,0.214584
500000,30,1.00,0.203022
500000,40,0.001,37.496572
500000,40,0.002,36.662072
500000,40,0.004,25.233144
500000,40,0.006,32.631629
500000,40,0.008,47.357884
500000,40,0.01,33.322525
500000,40,0.02,18.786238
500000,40,0.03,11.336400
500000,40,0.04,5.880740
500000,40,0.05,3.856050
500000,40,0.06,2.762641
500000,40,0.08,1.747207
500000,40,0.10,1.305303
500000,40,0.12,1.132145
500000,40,0.14,0.925145
500000,40,0.15,0.829247
500000,40,0.16,0.794876
500000,40,0.18,0.736663
500000,40,0.20,0.670744
500000,40,0.25,0.522135
500000,40,0.30,0.448875
500000,40,0.35,0.412779
500000,40,0.40,0.350632
500000,40,0.50,0.318425
500000,40,0.60,0.251642
500000,40,0.80,0.222720
500000,40,1.00,0.214405
500000,50,0.001,25.083567
500000,50,0.002,37.955809
500000,50,0.004,37.464762
500000,50,0.006,38.662094
500000,50,0.008,50.978743
500000,50,0.01,41.425389
500000,50,0.02,25.467451
500000,50,0.03,15.558166
500000,50,0.04,5.369150
500000,50,0.05,4.246814
500000,50,0.06,2.901002
500000,50,0.08,1.764123
500000,50,0.10,1.358863
500000,50,0.12,1.110734
500000,50,0.14,0.896054
500000,50,0.15,1.006718
500000,50,0.16,0.855794
500000,50,0.18,0.760893
500000,50,0.20,0.670316
500000,50,0.25,0.528207
500000,50,0.30,0.473404
500000,50,0.35,0.393368
500000,50,0.40,0.383732
500000,50,0.50,0.291237
500000,50,0.60,0.253287
500000,50,0.80,0.213582
500000,50,1.00,0.192243
500000,75,0.001,33.835984
500000,75,0.002,37.038970
500000,75,0.004,44.456277
500000,75,0.006,38.332996
500000,75,0.008,40.223571
500000,75,0.01,33.294166
500000,75,0.02,27.774987
500000,75,0.03,13.869919
500000,75,0.04,5.724983
500000,75,0.05,3.563018
500000,75,0.06,2.640903
500000,75,0.08,1.982771
500000,75,0.10,1.348351
500000,75,0.12,1.176368
500000,75,0.14,0.934949
500000,75,0.15,0.938981
500000,75,0.16,0.826067
500000,75,0.18,0.830299
500000,75,0.20,0.678264
500000,75,0.25,0.568273
500000,75,0.30,0.441715
500000,75,0.35,0.401457
500000,75,0.40,0.364928
500000,75,0.50,0.309638
500000,75,0.60,0.268664
500000,75,0.80,0.226219
500000,75,1.00,0.200680
500000,100,0.001,44.652258
500000,100,0.002,33.952552
500000,100,0.004,34.632980
500000,100,0.006,35.086710
500000,100,0.008,28.460126
500000,100,0.01,31.209840
500000,100,0.02,30.074136
500000,100,0.03,15.490311
500000,100,0.04,6.333810
500000,100,0.05,3.590770
500000,100,0.06,2.913328
500000,100,0.08,1.919296
500000,100,0.10,1.419410
500000,100,0.12,1.166834
500000,100,0.14,0.946073
500000,100,0.15,0.944402
500000,100,0.16,0.815679
500000,100,0.18,0.780314
500000,100,0.20,0.710732
500000,100,0.25,0.535829
500000,100,0.30,0.486503
500000,100,0.35,0.400786
500000,100,0.40,0.377555
500000,100,0.50,0.299701
500000,100,0.60,0.260909
500000,100,0.80,0.229925
500000,100,1.00,0.214113
500000,150,0.001,39.297168
500000,150,0.002,36.880520
500000,150,0.004,33.006560
500000,150,0.006,47.974421
500000,150,0.008,42.201810
500000,150,0.01,37.216005
500000,150,0.02,24.254715
500000,150,0.03,16.717274
500000,150,0.04,7.820396
500000,150,0.05,3.594847
500000,150,0.06,2.744537
500000,150,0.08,1.666580
500000,150,0.10,1.460865
500000,150,0.12,1.166817
500000,150,0.14,0.888452
500000,150,0.15,0.963419
500000,150,0.16,0.841974
500000,150,0.18,0.728322
500000,150,0.20,0.637749
500000,150,0.25,0.519214
500000,150,0.30,0.470986
500000,150,0.35,0.442189
500000,150,0.40,0.392583
500000,150,0.50,0.288909
500000,150,0.60,0.265831
500000,150,0.80,0.218720
500000,150,1.00,0.192365
500000,200,0.001,35.683273
500000,200,0.002,46.627139
500000,200,0.004,31.488169
500000,200,0.006,39.414858
500000,200,0.008,28.130842
500000,200,0.01,57.950680
500000,200,0.02,44.709885
500000,200,0.03,13.469298
500000,200,0.04,8.579783
500000,200,0.05,4.621788
500000,200,0.06,3.009457
500000,200,0.08,1.844496
500000,200,0.10,1.457757
500000,200,0.12,1.298357
500000,200,0.14,1.000380
500000,200,0.15,1.025193
500000,200,0.16,0.884628
500000,200,0.18,0.836518
500000,200,0.20,0.731521
500000,200,0.25,0.569421
500000,200,0.30,0.492559
500000,200,0.35,0.415681
500000,200,0.40,0.367833
500000,200,0.50,0.320268
500000,200,0.60,0.294247
500000,200,0.80,0.235031
500000,200,1.00,0.205987
500000,250,0.001,28.751513
500000,250,0.002,35.338750
500000,250,0.004,31.236415
500000,250,0.006,36.408670
500000,250,0.008,33.190652
500000,250,0.01,33.373242
500000,250,0.02,40.125089
500000,250,0.03,23.919381
500000,250,0.04,7.632415
500000,250,0.05,5.468828
500000,250,0.06,3.040215
500000,250,0.08,2.432193
500000,250,0.10,1.829699
500000,250,0.12,1.485248
500000,250,0.14,1.139753
500000,250,0.15,0.992875
500000,250,0.16,1.015245
500000,250,0.18,0.849722
500000,250,0.20,0.761172
500000,250,0.25,0.624509
500000,250,0.30,0.547591
500000,250,0.35,0.432641
500000,250,0.40,0.385436
500000,250,0.50,0.362439
500000,250,0.60,0.302585
500000,250,0.80,0.261148
500000,250,1.00,0.225561
500000,300,0.001,42.824745
500000,300,0.002,38.438813
500000,300,0.004,30.543424
500000,300,0.006,30.095092
500000,300,0.008,33.929085
500000,300,0.01,31.180765
500000,300,0.02,32.082329
500000,300,0.03,22.050151
500000,300,0.04,12.804417
500000,300,0.05,7.398618
500000,300,0.06,4.285138
500000,300,0.08,2.376637
500000,300,0.10,1.853422
500000,300,0.12,1.306154
500000,300,0.14,1.174844
500000,300,0.15,1.188715
500000,300,0.16,0.942917
500000,300,0.18,0.923614
500000,300,0.20,0.853706
500000,300,0.25,0.688770
500000,300,0.30,0.558047
